"John Snow 1855, ""On the mode of communication of cholera"", this version is at http://archive.org/details/b28985266",,,,,,,,,
"Table VII, p 84",,,,,,,,,
"Transcribed by Thomas Coleman, University of Chicago Harris School of Public Policy",,,,,,,,,
Mortality from Cholera in the four weeks ending 5th August (1854),,,Water Supply,,,,,,
Sub-Districts,Population in 1851,Deaths from Cholera in the seven weeks ending 26th August,Southwark & Vauxhall,Lambeth,Pump-wells,River Thames and ditches,Unasceertained,Supplier Tag,Amount of Lambeth supplied
subDistrict,pop1851,deathsOverall,deathsSouthwark,deathsLambeth,deathsPump,deathThames,deathsUnascertained,supplier,lambethdegree
"St. Saviour, Southwark",19709,26,24,0,0,2,0,SouthwarkVauxhall,dirty_none
"St. Olave, Southwark",8015,19,15,0,0,2,2,SouthwarkVauxhall,dirty_none
"St. John, Horsleydown",11360,18,17,0,0,1,0,SouthwarkVauxhall,dirty_none
"St. James, Bermondsey",18899,29,23,0,0,6,0,SouthwarkVauxhall,dirty_none
St. Mary Magdalen,13934,20,19,0,0,1,0,SouthwarkVauxhall,dirty_none
Leather Market,15295,23,23,0,0,0,0,SouthwarkVauxhall,dirty_none
Rotherhithe,17805,26,17,0,0,9,0,SouthwarkVauxhall,dirty_none
Battersea,10560,13,10,0,1,2,0,SouthwarkVauxhall,dirty_none
Wandsworth,9611,2,0,0,0,2,0,SouthwarkVauxhall,dirty_none
Putney,5280,1,0,0,1,0,0,SouthwarkVauxhall,dirty_none
Camberwell,17742,19,19,0,0,0,0,SouthwarkVauxhall,dirty_none
Peckham,19444,4,4,0,0,0,0,SouthwarkVauxhall,dirty_none
"Christchurch, Southwark",16022,3,2,1,0,0,0,SouthwarkVauxhall_Lambeth,more_Lambeth
Kent Road,18126,8,7,1,0,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth
Borough Road,15862,21,20,1,0,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth
London Road,17836,9,5,4,0,0,0,SouthwarkVauxhall_Lambeth,more_Lambeth
"Trinity, Newington",20922,14,14,0,0,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth
"St. Peter, Walworth",29861,20,20,0,0,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth
"St. Mary, Newington",14033,5,5,0,0,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth
Waterloo Road (1st),14088,5,5,0,0,0,0,SouthwarkVauxhall_Lambeth,more_Lambeth
Waterloo Road (2nd),18348,5,5,0,0,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth
Lambeth Church (1st),18409,5,2,1,0,1,1,SouthwarkVauxhall_Lambeth,more_Lambeth
Lambeth Church (2nd),26784,10,7,2,0,0,1,SouthwarkVauxhall_Lambeth,less_Lambeth
Kennington (1st),24261,11,9,1,1,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth
Kennington (2nd),18848,3,3,0,0,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth
Brixton,14610,1,0,1,0,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth
Clapham,16290,5,4,0,1,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth
"St. George, Camberwell",15849,9,7,2,0,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth
Norwood,3977,0,0,0,0,0,0,Lambeth,all
Streatham,9023,0,0,0,0,0,0,Lambeth,all
Dulwich,1632,0,0,0,0,0,0,Lambeth,all
Sydenham,4501,0,0,0,0,0,0,Lambeth,all
TOTAL,486936,334,286,14,4,26,4,All,some
#Comments,,,,,,,,,
#Summation of above numbers,,,,,,,,,
#First 12 sub-districts,"167,654",200,171,0,2,25,2,SouthwarkVauxhall,
#Next 16 sub-districts,"300,149",134,115,14,2,1,2,SouthwarkVauxhall_Lambeth,
#Last 4 sub-districts,"19,133",0,0,0,0,0,0,Lambeth,
#Total (using last 4 sub-districts),"486,936",334,286,14,4,26,4,,
#Last 3 sub-districts (not Sydenham),"14,632",,,,,,,,
#CHECK,ok,ok,ok,ok,ok,ok,ok,,
#Total (using last 3 sub-districts),"482,435",,,,,,,,
