"John Snow 1855, ""On the mode of communication of cholera"", this version is at http://archive.org/details/b28985266",,,,,,,,,,,
"Table VIII, p 85",,,,,,,,,,,
"Transcribed by Thomas Coleman, University of Chicago Harris School of Public Policy",,,,,,,,,,,
Mortality from Cholera in the seven weeks ending 26th August (1854),,,Water Supply,,,,,,,,
Sub-Districts,Population in 1851,Deaths from Cholera in the seven weeks ending 26th August,Southwark & Vauxhall,Lambeth,Pump-wells,River Thames and ditches,Unascertained,Supplier Tag,Amount of Lambeth supplied,Last 3 weeks allocation between Southwark vs wells allocated?,
subDistrict,pop1851,deathsOverall,deathsSouthwark,deathsLambeth,deathsPump,deathThames,deathsUnascertained,supplier,lambethdegree,last3imputed,district
"St. Saviour, Southwark",19709,125,115,0,0,10,0,SouthwarkVauxhall,dirty_none,y,"St. Saviour,  S."
"St. Olave, Southwark",8015,53,43,0,0,5,5,SouthwarkVauxhall,dirty_none,y,St. Olave
"St. John, Horsleydown",11360,51,48,0,0,3,0,SouthwarkVauxhall,dirty_none,y,St. Olave
"St. James, Bermondsey",18899,123,102,0,0,21,0,SouthwarkVauxhall,dirty_none,y,Bermondsey
St. Mary Magdalen,13934,87,83,0,0,4,0,SouthwarkVauxhall,dirty_none,y,Bermondsey
Leather Market,15295,81,81,0,0,0,0,SouthwarkVauxhall,dirty_none,y,Bermondsey
Rotherhithe,17805,103,68,0,0,35,0,SouthwarkVauxhall,dirty_none,y,Rotherhithe
Battersea,10560,54,42,0,4,8,0,SouthwarkVauxhall,dirty_none,y,Wandsworth
Wandsworth,9611,11,1,0,2,8,0,SouthwarkVauxhall,dirty_none,n,Wandsworth
Putney,5280,1,0,0,1,0,0,SouthwarkVauxhall,dirty_none,n,Wandsworth
Camberwell,17742,96,96,0,0,0,0,SouthwarkVauxhall,dirty_none,y,Camberwell
Peckham,19444,59,59,0,0,0,0,SouthwarkVauxhall,dirty_none,y,Camberwell
"Christchurch, Southwark",16022,25,11,13,0,0,1,SouthwarkVauxhall_Lambeth,more_Lambeth,n,"St. Saviour,  S."
Kent Road,18126,57,52,5,0,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth,n,"St. George, S."
Borough Road,15862,71,61,7,0,0,3,SouthwarkVauxhall_Lambeth,less_Lambeth,n,"St. George, S."
London Road,17836,29,21,8,0,0,0,SouthwarkVauxhall_Lambeth,more_Lambeth,n,"St. George, S."
"Trinity, Newington",20922,58,52,6,0,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Newington
"St. Peter, Walworth",29861,90,84,4,0,0,2,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Newington
"St. Mary, Newington",14033,21,19,1,1,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Newington
Waterloo Road (1st),14088,10,9,1,0,0,0,SouthwarkVauxhall_Lambeth,more_Lambeth,n,Lambeth
Waterloo Road (2nd),18348,36,25,8,1,2,0,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Lambeth
Lambeth Church (1st),18409,18,6,9,0,1,2,SouthwarkVauxhall_Lambeth,more_Lambeth,n,Lambeth
Lambeth Church (2nd),26784,53,34,13,1,0,5,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Lambeth
Kennington (1st),24261,71,63,5,3,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Lambeth
Kennington (2nd),18848,38,34,3,1,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Lambeth
Brixton,14610,9,5,2,0,0,2,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Lambeth
Clapham,16290,24,19,0,5,0,0,SouthwarkVauxhall_Lambeth,less_Lambeth,y,Wandsworth
"St. George, Camberwell",15849,42,30,9,2,0,1,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Camberwell
Norwood,3977,8,0,2,1,5,0,Lambeth,all,n,Lambeth
Streatham,9023,6,0,1,5,0,0,Lambeth,all,n,Wandsworth
Dulwich,1632,0,0,0,0,0,0,Lambeth,all,n,Camberwell
Sydenham,4501,4,0,1,2,0,1,Lambeth,all,n,Lewisham
TOTAL,486936,1514,1263,98,29,102,22,All,some,,na
#Comments,,,,,,,,,,,
#Summation of above numbers,,,,,,,,,,,
#First 12 sub-districts,"167,654",844,738,0,7,94,5,SouthwarkVauxhall,,,
#Next 16 sub-districts,"300,149",652,525,94,14,3,16,SouthwarkVauxhall_Lambeth,,,
#Last 4 sub-districts,"19,133",18,0,4,8,5,1,Lambeth,,,
#Total (using last 4 sub-districts),"486,936","1,514","1,263",98,29,102,22,,,,
#Last 3 sub-districts (not Sydenham),"14,632",14,0,3,6,5,0,,,,
#CHECK,ok,ok,ok,ok,ok,ok,ok,,,,
#Total (using last 3 sub-districts),"482,435",,,,,,,,,,
#Subtotals from Table VI (p 73),,,,,,,,,,,
#First 12 sub-districts,"167,654",ok,,,,,,,,,
#Next 16 sub-districts,"301,149",PROBLEM,,,,,,,,,
#Last 3 sub-districts (not Sydenham),"14,632",ok,,,,,,,,,
