"John Snow 1856, ""Cholera and the water supply in the south district of London in 1854"" from Frost reprint of Snow papers (appendix) and from web pictures http://www.ph.ucla.edu/epi/snow/cholerawatersouthlondon.html",,,,,,,,,,,,,,,,,,
Tables I & II,,,,,,,,,,,,,,,,,,
"Transcribed by Thomas Coleman, University of Chicago Harris School of Public Policy",,,,,,,,,,,,,,,,,,
Mortality from Cholera in the seven weeks ending 26th August (1854),,,Water Supply,,,,,,,,,,,,,,,
Sub-Districts,Population in 1851,Deaths from Cholera in the seven weeks ending 26th August,Southwark & Vauxhall,Lambeth,Pump-wells,River Thames and ditches,Unasceertained,,,,,,,Supplier Tag,Amount of Lambeth supplied,Last 3 weeks allocation between Southwark vs wells allocated?,,
subDistrict,pop1851,deathsOverall,deathsSouthwark,deathsLambeth,deathsPump,deathThames,deathsUnascertained,houses1851,pop_per_house,southwark_houses,pop_southwark,lambeth_houses,pop_lambeth,supplier,lambethdegree,last3imputed,district,Snow1856
"St. Saviour, Southwark",19709,125,115,0,0,10,0,2713,7.3,2238,16337,123,898,SouthwarkVauxhall,dirty_none,y,"St. Saviour, Southwark",TableII
"St. Olave, Southwark",8015,53,43,0,0,5,5,880,9.1,961,8745,0,0,SouthwarkVauxhall,dirty_none,y,"St. Olave, Southwark",TableII
"St. John, Horsleydown",11360,51,48,0,0,3,0,1480,7.7,1170,9360,0,0,SouthwarkVauxhall,dirty_none,y,"St. Olave, Southwark",TableII
"St. James, Bermondsey",18899,123,102,0,0,21,0,2863,6.6,3511,23173,105,693,SouthwarkVauxhall,dirty_none,y,Bermondsey,TableII
St. Mary Magdalen,13934,87,83,0,0,4,0,1865,7.5,2301,17258,0,0,SouthwarkVauxhall,dirty_none,y,Bermondsey,TableII
Leather Market,15295,81,81,0,0,0,0,2279,6.7,2090,14003,163,1092,SouthwarkVauxhall,dirty_none,y,Bermondsey,TableII
Rotherhithe,17805,103,68,0,0,35,0,2792,6.4,1909,12218,0,0,SouthwarkVauxhall,dirty_none,y,Rotherhithe,TableII
Battersea,10560,54,42,0,4,8,0,1760,6,1046,6276,46,276,SouthwarkVauxhall,dirty_none,y,Wandsworth,TableII
Wandsworth,9611,11,1,0,2,8,0,1522,6.3,144,907,15,94,SouthwarkVauxhall,dirty_none,n,Wandsworth,TableI
