"John Snow 1856, ""Cholera and the water supply in the south district of London in 1854"" from Frost reprint of Snow papers (appendix) and from web pictures http://www.ph.ucla.edu/epi/snow/cholerawatersouthlondon.html",,,,,,,,,,,,,,,,,,
Table VI,,,,,,,,,,,,,,,,,,
"Transcribed by Thomas Coleman, University of Chicago Harris School of Public Policy",,,,,,,,,,,,,,,,,,
"Mortality from Cholera in1854, in Thirty-one Sub-Districts, as compared with Calculations founded on the Results shown in Table V.",,,,,,,,,,,,,,,,,,
Sub-Districts,,Population in 1851,Estimated population supplied with water as under,,,Deaths from Cholera in 1854,,,"Calculated mortality in the population, supplied with water as under",,,,,Supplier Tag,Amount of Lambeth supplied,Last 3 weeks allocation between Southwark vs wells allocated?,,
district,subDistrict,pop1851,pop_southwark,pop_lambeth,pop_combined,deaths_1854,deaths_1854_TableXII,mortality_1854,deaths_Southwark_projected_rate160,deaths_Lambeth_projected_rate27,deaths_projected_combined,mortality_projected,seq_1855,supplier,lambethdegree,last3imputed,district,Snow1856
"St. Saviour,  S.","Christchurch, Southwark",16022,2915,13234,16149,113,113,71,46,36,82,57,13,SouthwarkVauxhall_Lambeth,more_Lambeth,n,"St. Saviour,  S.",TableI
"St. Saviour,  S.","St. Saviour, Southwark",19709,16337,898,17235,378,371,192,261,2,263,153,1,SouthwarkVauxhall,dirty_none,y,"St. Saviour,  S.",TableII
St. Olave,"St. Olave, Southwark",8015,8745,0,8745,161,161,201,140,0,140,160,2,SouthwarkVauxhall,dirty_none,y,St. Olave,TableII
St. Olave,"St. John, Horsleydown",11360,9360,0,9360,152,148,134,150,0,150,160,3,SouthwarkVauxhall,dirty_none,y,St. Olave,TableII
Bermondsey,"St. James, Bermondsey",18899,23173,693,23866,362,362,192,370,2,372,156,4,SouthwarkVauxhall,dirty_none,y,Bermondsey,TableII
Bermondsey,St. Mary Magdalen,13934,17258,0,17258,247,244,177,276,0,276,160,5,SouthwarkVauxhall,dirty_none,y,Bermondsey,TableII
Bermondsey,Leather Market,15295,14003,1092,15095,237,237,155,224,3,227,150,6,SouthwarkVauxhall,dirty_none,y,Bermondsey,TableII
"St. George, S.",Kent Road,18126,12630,3997,16627,177,174,98,202,11,213,128,14,SouthwarkVauxhall_Lambeth,less_Lambeth,n,"St. George, S.",TableI
"St. George, S.",Borough Road,15862,8937,6672,15609,271,270,171,143,18,161,103,15,SouthwarkVauxhall_Lambeth,less_Lambeth,n,"St. George, S.",TableI
"St. George, S.",London Road,17836,2872,11497,14369,95,93,53,46,31,79,54,16,SouthwarkVauxhall_Lambeth,more_Lambeth,n,"St. George, S.",TableI
Newington,"Trinity, Newington",20922,10132,8370,18502,211,210,101,162,22,184,100,17,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Newington,TableI
Newington,"St. Peter, Walworth",29861,14274,10724,24998,391,388,131,228,29,257,103,18,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Newington,TableI
Newington,"St. Mary, Newington",14033,2983,5484,8467,92,92,66,48,15,63,74,19,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Newington,TableI
Lambeth,Waterloo Road (1st),14088,3548,11939,15487,59,58,42,57,31,86,57,20,SouthwarkVauxhall_Lambeth,more_Lambeth,n,Lambeth,TableI
Lambeth,Waterloo Road (2nd),18348,7171,12533,19704,118,117,64,115,34,149,75,21,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Lambeth,TableI
Lambeth,Lambeth Church (1st),18409,3113,15878,18991,49,49,27,50,43,93,49,22,SouthwarkVauxhall_Lambeth,more_Lambeth,n,Lambeth,TableI
Lambeth,Lambeth Church (2nd),26784,7868,16023,23891,195,193,73,126,43,167,71,23,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Lambeth,TableI
Lambeth,Kennington (1st),24261,15775,2708,18483,305,303,126,253,7,260,141,24,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Lambeth,TableI
Lambeth,Kennington (2nd),18848,7874,5620,13494,143,142,75,126,15,141,105,25,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Lambeth,TableI
